22,5,4,64.2,65.7,17.1,2,10,55,19,40600
22,5,4,64.2,65.7,17.1,2,10,55,19,45500
22,5,4,64.2,65.7,17.1,2,10,45,20,43600
22,5,4,64.2,65.7,17.1,2,10,55,19,37400
21,5,4,64.2,65.7,17.1,2,10,55,19,42600
21,5,4,64.2,65.7,17.1,2,10,55,19,47500
21,5,4,64.2,65.7,17.1,2,10,45,20,45600
19,5,4,63.1,65,16,3.5,6,60,18,37500
20,5,4,63.1,65,16,3.5,6,60,18,41000
20,5,4,63.1,65,16,3.5,6,60,18,39700
20,5,4,63.1,65,16,3.5,6,60,18,42700
20,5,4,63.1,65,16,3.5,6,60,18,37300
20,5,4,63.1,65,16,3.5,6,60,18,36000
19,5,4,63.1,65,16,3.5,6,60,18,42500
19,5,4,63.1,65,16,3.5,6,60,18,41200
19,5,4,63.1,65,16,3.5,6,60,18,44200
19,5,4,63.1,65,16,3.5,6,60,18,38800
19,5,4,63.1,65,16,3.5,6,60,18,36870
20,5,4,63.1,65,16,3.5,6,60,18,40370
20,5,4,63.1,65,16,3.5,6,60,18,39070
20,5,4,63.1,65,16,3.5,6,60,18,42020
20,5,4,63.1,65,16,3.5,6,60,18,36670
20,5,4,63.1,65,16,3.5,6,60,18,35370
19,5,4,63.1,65,16,3.5,6,60,18,41870
19,5,4,63.1,65,16,3.5,6,60,18,40570
19,5,4,63.1,65,16,3.5,6,60,18,43520
19,5,4,63.1,65,16,3.5,6,60,18,38170
19,5,4,63.1,66.1,16,3.5,6,60,18,36495
20,5,4,63.1,66.1,16,3.5,6,60,18,38795
20,5,4,63.1,66.1,16,3.5,6,60,18,35095
19,5,4,63.1,66.1,16,3.5,6,60,18,40195
19,5,4,63.1,66.1,16,3.5,6,60,18,35920
20,5,4,63.1,66.1,16,3.5,6,60,18,38220
20,5,4,63.1,66.1,16,3.5,6,60,18,34520
19,5,4,63.1,66.1,16,3.5,6,60,18,39620
19,5,4,63.1,66.1,16,3.5,6,60,18,35720
20,5,4,63.1,66.1,16,3.5,6,60,18,38020
20,5,4,63.1,66.1,16,3.5,6,60,18,34320
19,5,4,63.1,66.1,16,3.5,6,60,18,39420
17,5,4,61.9,65.2,18,2.3,5,55,18,34895
19,5,4,61.9,65.2,18,2.3,5,55,18,35995
19,5,4,61.9,65.2,18,2.3,5,55,18,32895
17,5,4,61.9,65.2,18,2.3,5,55,18,37995
17,5,4,61.8,65.1,18,2.3,5,55,18,34895
19,5,4,61.8,65.1,18,2.3,5,55,18,35995
19,5,4,61.8,65.1,18,2.3,5,55,18,32895
17,5,4,61.8,65.1,18,2.3,5,55,18,37995
17,5,4,61.8,65.1,18,2.3,5,55,18,34520
19,5,4,61.8,65.1,18,2.3,5,55,18,35620
19,5,4,61.8,65.1,18,2.3,5,55,18,32520
17,5,4,61.8,65.1,18,2.3,5,55,18,37620
17,5,4,61.9,65.2,18,2.3,5,55,18,33895
17,5,4,61.9,65.2,18,2.3,5,55,18,37195
17,5,4,61.9,65.2,18,2.3,5,55,18,33195
17,5,4,61.9,65.2,18,2.3,5,55,18,36695
19,5,4,61.9,65.2,18,2.3,5,55,18,32995
19,5,4,61.9,65.2,18,2.3,5,55,18,36495
20,7,4,66.3,67.4,19.5,3.5,9,60,18,44300
19,6,4,66.3,67.4,19.5,3.5,9,50,20,53300
19,7,4,66.3,67.4,19.5,3.5,9,45,20,54800
19,7,4,66.3,67.4,19.5,3.5,9,50,20,51300
19,7,4,66.3,67.4,19.5,3.5,9,45,20,60050
19,6,4,66.3,67.4,19.5,3.5,9,45,20,58050
26,7,4,66.3,67.4,19.4,3,7,50,20,52800
26,6,4,66.3,67.4,19.4,3,7,50,20,59550
19,7,4,66.3,67.4,19.5,3.5,9,60,18,46300
20,6,4,66.3,67.4,19.5,3.5,9,50,20,51300
20,7,4,66.3,67.4,19.5,3.5,9,50,20,49300
20,7,4,66.3,67.4,19.5,3.5,9,45,20,58050
20,6,4,66.3,67.4,19.5,3.5,9,45,20,56050
19,7,4,66.3,67.4,19.5,3.5,9,60,18,44200
18,7,4,66.3,67.4,19.5,3.5,9,50,20,52600
18,7,4,66.3,67.4,19.5,3.5,9,50,20,50600
19,7,4,66.3,67.4,19.5,3.5,9,50,20,58650
19,6,4,66.3,67.4,19.5,3.5,9,50,20,56650
26,7,4,66.3,67.4,19.4,3,7,50,20,52100
26,6,4,66.3,67.4,19.4,3,7,50,20,58150
18,7,4,66.3,67.4,19.5,3.5,9,60,18,46200
19,7,4,66.3,67.4,19.5,3.5,9,50,20,50600
19,7,4,66.3,67.4,19.5,3.5,9,50,20,48600
20,7,4,66.3,67.4,19.5,3.5,9,50,20,56650
20,6,4,66.3,67.4,19.5,3.5,9,50,20,54650
19,7,4,66.3,67.6,19.5,3.5,9,60,18,43015
18,7,4,66.3,67.6,19.5,3.5,9,55,19,52640
18,7,4,66.3,67.6,19.5,3.5,9,55,19,51440
18,7,4,66.3,67.6,19.5,3.5,9,55,19,50640
18,7,4,66.3,67.6,19.5,3.5,9,55,19,49440
19,7,4,66.3,67.6,19.5,3.5,9,55,19,57230
19,7,4,66.3,67.6,19.5,3.5,9,55,19,55230
18,7,4,66.3,67.6,19.5,3.5,9,60,18,46515
18,7,4,66.3,67.6,19.5,3.5,9,60,18,45015
19,7,4,66.3,67.6,19.5,3.5,9,55,19,50640
19,7,4,66.3,67.6,19.5,3.5,9,55,19,49440
19,7,4,66.3,67.6,19.5,3.5,9,55,19,48640
19,7,4,66.3,67.6,19.5,3.5,9,55,19,47440
20,7,4,66.3,67.6,19.5,3.5,9,55,19,55230
20,7,4,66.3,67.6,19.5,3.5,9,55,19,53230
19,7,4,66.3,67.6,19.5,3.5,9,60,18,44515
20,7,4,66.3,67.6,19.5,3.5,6,60,18,42765
18,7,4,66.3,67.6,19.5,3.5,6,55,19,51040
